Id,Label,Date,Image,followers_count,friends_count
1053949113916624899,gerhard_zeiler,Sun Oct 21 10:00:24 +0000 2018,https://pbs.twimg.com/profile_images/1244192734325465095/UFAkbC6e_normal.jpg,3014,1010
1055325265608486912,ogelresiak,Thu Oct 25 05:08:45 +0000 2018,https://pbs.twimg.com/profile_images/1431342145080856588/a3FR-qNs_normal.jpg,31,182
1056517410646298625,Ahnenforscher2,Sun Oct 28 12:05:54 +0000 2018,https://pbs.twimg.com/profile_images/1321869724188368896/sjao1s07_normal.jpg,169,223
1057196110765285376,PetervonSolms,Tue Oct 30 09:02:49 +0000 2018,https://pbs.twimg.com/profile_images/1057316450082451458/2RmVRbI__normal.jpg,77,64
1058066452069007361,PilgrimOrthodox,Thu Nov 01 18:41:14 +0000 2018,https://pbs.twimg.com/profile_images/1372021131863977985/bz2o9Oau_normal.jpg,5651,654
1059525970221322240,NbSepp,Mon Nov 05 19:20:51 +0000 2018,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,38,271
1059750089143525378,Kriskrosso,Tue Nov 06 10:11:25 +0000 2018,https://pbs.twimg.com/profile_images/1059751000708407296/VWRmhqSp_normal.jpg,119,155
1064573612240318464,GBerufspendler,Mon Nov 19 17:38:22 +0000 2018,https://pbs.twimg.com/profile_images/1203223983644131328/DCBdawpS_normal.jpg,92,21
1064595416342253569,werwaswo3,Mon Nov 19 19:05:01 +0000 2018,https://pbs.twimg.com/profile_images/1073911853569507333/wkl1VkRY_normal.jpg,270,364
1066272239409143808,jafinnascher,Sat Nov 24 10:08:07 +0000 2018,https://pbs.twimg.com/profile_images/1437782384859045897/QyjhrYKj_normal.jpg,712,559
1066341272531726336,MfG_00we,Sat Nov 24 14:42:25 +0000 2018,https://pbs.twimg.com/profile_images/1368468103416475648/d9Ua0Wn7_normal.jpg,7,26
1066582007126401024,OlafHahner,Sun Nov 25 06:39:01 +0000 2018,https://pbs.twimg.com/profile_images/1158776177340891136/dbDZTlHL_normal.jpg,61,138
107071527,erich_strasser,Thu Jan 21 13:36:24 +0000 2010,https://pbs.twimg.com/profile_images/877888415055872001/-gAeWKsV_normal.jpg,841,1940
1072571097286094849,BikeBrunos,Tue Dec 11 19:17:31 +0000 2018,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,31,127
1072585440635613185,JSaying66,Tue Dec 11 20:14:31 +0000 2018,https://pbs.twimg.com/profile_images/1072587856021995526/VNU-G1cG_normal.jpg,6,34
1072974908882333701,Ob1VanKenobi,Wed Dec 12 22:02:07 +0000 2018,https://pbs.twimg.com/profile_images/1082029110673793024/bFePOKIu_normal.jpg,27,71
1073520239143542784,when2moon,Fri Dec 14 10:09:04 +0000 2018,https://pbs.twimg.com/profile_images/1444906423796879361/AWoyYJdX_normal.jpg,10,29
1073606626530263040,Jetriano1,Fri Dec 14 15:52:21 +0000 2018,https://pbs.twimg.com/profile_images/1447651454479650821/FmyoReBH_normal.jpg,32,184
107402608,EinFragender,Fri Jan 22 12:54:47 +0000 2010,https://pbs.twimg.com/profile_images/736449773/00033908_150_100_normal.jpg,638,970
1074205926775771137,TotalEgal15,Sun Dec 16 07:33:45 +0000 2018,https://pbs.twimg.com/profile_images/1462420022182170635/vjRGbYCu_normal.jpg,210,293
1077479182282752000,Joggel83990343,Tue Dec 25 08:20:30 +0000 2018,https://pbs.twimg.com/profile_images/1185418262533808128/mmSSs7KV_normal.jpg,39,84
