,Country Name,Country Code,Population,Forest Area,GDP per Capita,Unemployment,Renewable Energy,Life Expectancy,Female Labor Participation,Urban Population,CO2 Emissions per Capita,Fertility Rate,Population Growth
35,Slovak Republic,SVK,5458827,0.40,19200,0.07,0.12,77.47,0.52,0.54,6.06,1.56,0.00
36,"Bahamas, The",BHS,393248,0.51,33460,0.14,0.01,73.92,0.70,0.83,5.86,1.74,0.01
37,Bulgaria,BGR,6927288,0.36,9570,0.06,,74.91,0.50,0.76,5.85,1.58,-0.01
38,Denmark,DNK,5831404,0.16,64000,0.06,0.35,81.20,0.58,0.88,5.76,1.70,0.00
39,Spain,ESP,47351567,0.37,30330,0.16,0.17,83.49,0.52,0.81,5.52,1.24,0.00
40,United Kingdom,GBR,67215293,0.13,42130,0.04,0.11,81.20,0.58,0.84,5.40,1.65,0.01
41,Italy,ITA,59554023,0.32,34830,0.09,0.17,83.20,0.41,0.71,5.38,1.27,-0.00
42,Equatorial Guinea,GNQ,1402985,0.87,6280,0.09,0.05,58.73,0.55,0.73,5.10,4.43,0.03
43,Turkey,TUR,84339067,0.29,9690,0.14,0.12,77.69,0.34,0.76,5.02,2.06,0.01
44,Portugal,PRT,10305564,0.36,23150,0.07,0.28,80.68,0.55,0.66,4.84,1.42,0.00
45,Hungary,HUN,9749763,0.22,16530,0.04,0.14,76.02,0.48,0.72,4.75,1.49,-0.00
46,Chile,CHL,19116209,0.24,14990,0.12,0.25,80.18,0.52,0.88,4.62,1.63,0.01
47,France,FRA,67391582,0.32,42290,0.09,0.15,82.58,0.51,0.81,4.62,1.87,0.00
48,Switzerland,CHE,8636896,0.32,87950,0.05,0.24,83.70,0.63,0.74,4.40,1.48,0.01
49,Barbados,BRB,287371,0.15,17380,0.13,0.06,79.19,0.62,0.31,4.36,1.62,0.00
50,Ukraine,UKR,44134693,0.17,3370,0.09,0.07,71.83,0.47,0.70,4.15,1.23,-0.01
51,Lithuania,LTU,2794700,0.35,19000,0.08,0.33,76.13,0.57,0.68,4.14,1.61,0.00
52,Montenegro,MNE,621718,0.61,9070,0.16,0.41,76.88,0.48,0.67,4.05,1.75,-0.00
53,Lebanon,LBN,6825442,0.14,7420,0.07,0.05,78.93,0.23,0.89,4.04,2.08,-0.00
54,Argentina,ARG,45376763,0.10,11130,0.12,0.11,76.67,0.51,0.92,3.99,2.25,0.01
55,Latvia,LVA,1901548,0.55,17730,0.08,0.41,75.24,0.56,0.68,3.96,1.61,-0.01
56,Romania,ROU,19286123,0.30,12610,0.05,0.23,75.46,0.46,0.54,3.85,1.76,-0.00
57,Mexico,MEX,128932753,0.34,9480,0.05,0.10,75.05,0.46,0.81,3.74,2.10,0.01
58,Thailand,THA,69799978,0.39,7260,0.01,0.24,77.15,0.59,0.51,3.71,1.51,0.00
59,Maldives,MDV,540542,0.03,9670,0.07,0.01,78.92,0.42,0.41,3.70,1.84,0.02
60,Botswana,BWA,2351625,0.27,7660,0.18,0.28,69.59,0.65,0.71,3.64,2.84,0.02
61,Suriname,SUR,586634,0.97,6340,0.09,0.19,71.68,0.39,0.66,3.61,2.39,0.01
62,Algeria,DZA,43851043,0.01,4010,0.13,0.00,76.88,0.17,0.74,3.59,2.99,0.02
63,North Macedonia,MKD,2083380,0.40,5840,0.18,0.21,75.80,0.45,0.58,3.54,1.49,-0.00
64,Sweden,SWE,10353442,0.69,56090,0.08,0.52,82.96,0.61,0.88,3.54,1.70,0.01
65,Uzbekistan,UZB,34232050,0.08,1800,0.06,0.01,71.72,0.49,0.50,3.40,2.79,0.02
66,Mauritius,MUS,1265740,0.19,12900,0.07,0.09,74.24,0.45,0.41,3.26,1.40,0.00
67,Azerbaijan,AZE,10110116,0.14,4490,0.06,0.02,73.00,0.63,0.56,3.22,1.80,0.01
68,Malta,MLT,525285,0.01,28340,0.04,0.07,82.60,0.48,0.95,3.20,1.10,0.04
69,Moldova,MDA,2617820,0.12,4580,0.05,0.26,71.90,0.38,0.43,3.17,1.27,-0.02
70,Guyana,GUY,786559,0.94,6630,0.16,0.17,69.91,0.43,0.27,3.13,2.44,0.00
71,Vietnam,VNM,97338583,0.47,2590,0.02,0.23,75.40,0.73,0.37,2.70,2.05,0.01
72,Lao PDR,LAO,7275556,0.72,2490,0.01,0.42,67.92,0.76,0.36,2.66,2.63,0.01
73,Tunisia,TUN,11818618,0.05,3340,0.17,0.12,76.70,0.25,0.70,2.59,2.17,0.01
74,St. Vincent and the Grenadines,VCT,110947,0.73,7460,0.20,0.05,72.53,0.57,0.53,2.54,1.87,0.00
75,Georgia,GEO,3714000,0.41,4690,0.12,0.28,73.77,0.55,0.59,2.54,2.06,-0.00
76,"Egypt, Arab Rep.",EGY,102334403,0.00,2690,0.10,0.05,71.99,0.18,0.43,2.50,3.28,0.02
77,Jordan,JOR,10203140,0.01,4410,0.18,0.07,74.53,0.15,0.91,2.48,2.69,0.01
78,Panama,PAN,4314768,0.57,14900,0.10,0.24,78.51,0.55,0.68,2.43,2.44,0.02
79,Dominican Republic,DOM,10847904,0.44,8100,0.09,0.16,74.08,0.54,0.83,2.36,2.32,0.01
80,Ecuador,ECU,17643060,0.50,6100,0.06,0.16,77.01,0.55,0.64,2.31,2.40,0.02
81,Gabon,GAB,2225728,0.91,7170,0.20,0.90,66.47,0.43,0.90,2.18,3.92,0.02
82,St. Lucia,LCA,183629,0.34,11080,0.17,0.10,76.20,0.69,0.19,2.14,1.42,0.00
83,Brazil,BRA,212559409,0.59,9270,0.14,0.47,75.88,0.55,0.87,2.04,1.72,0.01
84,Bolivia,BOL,11673029,0.47,3520,0.06,0.08,71.51,0.64,0.70,2.00,2.69,0.01
85,Uruguay,URY,3473727,0.12,17740,0.13,0.61,77.91,0.55,0.96,1.89,1.96,0.00
86,Morocco,MAR,36910558,0.13,3200,0.10,0.11,76.68,0.22,0.64,1.85,2.38,0.01
87,Tonga,TON,105697,0.12,5000,0.04,0.02,70.91,0.38,0.23,1.84,3.52,0.01
88,Bhutan,BTN,771612,0.71,3140,0.04,0.81,71.78,0.59,0.42,1.83,1.95,0.01
89,India,IND,1380004385,0.24,2120,0.07,0.32,69.66,0.21,0.35,1.80,2.20,0.01
90,Belize,BLZ,397621,0.56,4700,0.08,0.40,74.62,0.50,0.46,1.78,2.27,0.02
91,Kyrgyz Republic,KGZ,6591600,0.07,1240,0.08,0.23,71.60,0.44,0.37,1.74,3.30,0.02
92,Namibia,NAM,2540916,0.08,5180,0.20,0.30,63.71,0.56,0.52,1.74,3.34,0.02
93,Peru,PER,32971846,0.57,6790,0.06,0.28,76.74,0.71,0.78,1.70,2.23,0.01
94,Costa Rica,CRI,5094114,0.59,12070,0.17,0.36,80.28,0.52,0.81,1.65,1.74,0.01
95,Samoa,WSM,198410,0.57,4200,0.09,0.37,73.32,0.31,0.18,1.63,3.83,0.01
96,Colombia,COL,50882884,0.53,6580,0.15,0.31,77.29,0.56,0.81,1.60,1.79,0.01
97,Philippines,PHL,109581085,0.24,3850,0.03,0.23,71.23,0.47,0.47,1.33,2.53,0.01
98,Lesotho,LSO,2142252,0.01,1290,0.25,0.38,54.33,0.60,0.29,1.22,3.11,0.01
99,Paraguay,PRY,7132530,0.41,5510,0.08,0.59,74.25,0.60,0.62,1.21,2.40,0.01
100,Cabo Verde,CPV,555988,0.11,3630,0.13,0.23,72.98,0.53,0.67,1.14,2.24,0.01
101,Guatemala,GTM,16858333,0.33,4610,0.05,0.64,74.30,0.41,0.52,1.11,2.82,0.02
102,El Salvador,SLV,6486201,0.28,3990,0.07,0.23,73.32,0.45,0.73,1.06,2.02,0.01
103,Honduras,HND,9904608,0.57,2390,0.09,0.50,75.27,0.52,0.58,1.02,2.43,0.02
104,Sri Lanka,LKA,21919000,0.34,4010,0.05,0.51,76.98,0.34,0.19,1.00,2.19,0.01
105,Pakistan,PAK,220892331,0.05,1410,0.05,0.42,67.27,0.22,0.37,0.98,3.45,0.02
106,Eswatini,SWZ,1160164,0.29,3670,0.23,0.66,60.19,0.49,0.24,0.96,2.96,0.01
107,Mauritania,MRT,4649660,0.00,1660,0.11,0.25,64.92,0.28,0.55,0.91,4.50,0.03
108,Angola,AGO,32866268,0.53,2970,0.08,0.57,61.15,0.76,0.67,0.89,5.44,0.03
109,Papua New Guinea,PNG,8947027,0.79,2750,0.03,0.50,64.50,0.46,0.13,0.87,3.52,0.02
110,Zimbabwe,ZWE,14862927,0.45,1200,0.06,0.81,61.49,0.78,0.32,0.85,3.53,0.01
111,Nicaragua,NIC,6624554,0.28,1900,0.06,0.50,74.48,0.50,0.59,0.81,2.38,0.01
112,Tajikistan,TJK,9537642,0.03,1070,0.07,0.39,71.10,0.29,0.28,0.81,3.56,0.02
113,Benin,BEN,12123198,0.28,1250,0.03,0.44,61.77,0.69,0.48,0.69,4.77,0.03
114,Cambodia,KHM,16718971,0.46,1530,0.00,0.62,69.82,0.77,0.24,0.69,2.48,0.01
115,Nigeria,NGA,206139587,0.24,2030,0.09,0.80,54.69,0.49,0.52,0.67,5.32,0.03
116,Sao Tome and Principe,STP,219161,0.54,1950,0.14,0.38,70.39,0.42,0.74,0.66,4.27,0.02
117,Senegal,SEN,16743930,0.42,1430,0.07,0.37,67.94,0.35,0.48,0.62,4.56,0.03
118,Vanuatu,VUT,307150,0.36,3360,0.02,0.31,70.47,0.61,0.26,0.62,3.74,0.02
119,"Congo, Rep.",COG,5518092,0.64,1810,0.10,0.70,64.57,0.68,0.68,0.61,4.37,0.03
120,Myanmar,MMR,54409794,0.44,1360,0.02,0.60,67.13,0.46,0.31,0.61,2.14,0.01
121,Solomon Islands,SLB,686878,0.90,2370,0.01,0.49,73.00,0.82,0.25,0.57,4.36,0.03
122,Ghana,GHA,31072945,0.35,2210,0.05,0.42,64.07,0.64,0.57,0.54,3.82,0.02
123,Bangladesh,BGD,164689383,0.14,1940,0.05,0.31,72.59,0.36,0.38,0.51,2.01,0.01
124,Djibouti,DJI,988002,0.00,3310,0.12,0.28,67.11,0.51,0.78,0.51,2.68,0.01
125,Timor-Leste,TLS,1318442,0.62,2020,0.05,0.18,69.50,0.62,0.31,0.50,3.94,0.02
126,Sudan,SDN,43849269,0.10,820,0.18,0.61,65.31,0.29,0.35,0.48,4.35,0.02
127,Zambia,ZMB,18383956,0.60,1430,0.12,0.85,63.89,0.70,0.45,0.45,4.56,0.03
128,Nepal,NPL,29136808,0.42,1230,0.04,0.75,70.78,0.82,0.21,0.43,1.88,0.02
129,Cote d'Ivoire,CIV,26378275,0.09,2290,0.04,0.64,57.78,0.45,0.52,0.40,4.59,0.03
130,Kenya,KEN,53771300,0.06,1750,0.03,0.72,66.70,0.72,0.28,0.36,3.42,0.02
131,Cameroon,CMR,26545864,0.43,1500,0.04,0.81,59.29,0.71,0.58,0.34,4.51,0.03
132,Comoros,COM,869595,0.18,1400,0.08,0.55,64.32,0.34,0.29,0.31,4.14,0.02
133,Haiti,HTI,11402533,0.13,1330,0.14,0.76,64.00,0.64,0.57,0.30,2.89,0.01
134,Mali,MLI,20250834,0.11,870,0.07,0.77,59.31,0.58,0.44,0.29,5.79,0.03
135,Togo,TGO,8278737,0.22,920,0.04,0.75,61.04,0.56,0.43,0.29,4.26,0.02
136,Liberia,LBR,5057677,0.79,580,0.03,0.87,64.10,0.72,0.52,0.27,4.25,0.02
137,Guinea,GIN,13132792,0.25,950,0.04,0.70,61.60,0.63,0.37,0.25,4.62,0.03
138,"Gambia, The",GMB,2416664,0.24,750,0.10,0.52,62.05,0.51,0.63,0.25,5.15,0.03
139,Mozambique,MOZ,31255435,0.47,490,0.03,0.66,60.85,0.77,0.37,0.23,4.78,0.03
140,Burkina Faso,BFA,20903278,0.23,780,0.05,0.67,61.58,0.58,0.31,0.22,5.11,0.03
141,Tanzania,TZA,59734213,0.52,1100,0.02,0.84,65.46,0.80,0.35,0.21,4.83,0.03
142,Guinea-Bissau,GNB,1967998,0.70,800,0.03,0.87,58.32,0.66,0.44,0.17,4.40,0.02
143,Ethiopia,ETH,114963583,0.15,850,0.03,0.90,66.60,0.73,0.22,0.15,4.15,0.03
144,Uganda,UGA,45741000,0.12,780,0.02,0.90,63.37,0.67,0.25,0.14,4.82,0.03
145,Sierra Leone,SLE,7976985,0.35,540,0.05,0.80,54.70,0.58,0.43,0.13,4.17,0.02
146,Madagascar,MDG,27691019,0.21,510,0.02,0.82,67.04,0.83,0.39,0.13,4.03,0.03
147,Niger,NER,24206636,0.01,600,0.01,0.78,62.42,0.61,0.17,0.10,6.82,0.04
148,Rwanda,RWA,12952209,0.11,830,0.01,0.86,69.02,0.84,0.17,0.09,3.99,0.03
149,Malawi,MWI,19129955,0.24,550,0.06,0.73,64.26,0.73,0.17,0.09,4.13,0.03
150,Central African Republic,CAF,4829764,0.36,520,0.04,0.81,53.28,0.64,0.42,0.07,4.64,0.02
151,Chad,TCD,16425859,0.03,700,0.02,0.85,54.24,0.64,0.24,0.07,5.65,0.03
152,Burundi,BDI,11890781,0.11,280,0.01,0.86,61.58,0.81,0.14,0.05,5.32,0.03
153,Somalia,SOM,15893219,0.10,320,0.13,0.95,57.40,0.22,0.46,0.05,5.98,0.03
154,"Congo, Dem. Rep.",COD,89561404,0.56,530,0.05,0.96,60.68,0.61,0.46,0.03,5.82,0.03
