ID,URL,Date,Valid Phish
7286174,https://ghenciu.ro/.temp, on Sep 8th 2021 10:01 AM,Unknown
7286135,http://moho.ind.in/[email protected], on Sep 8th 2021 9:02 AM,VALID PHISH
7286131,https://owa2022.wixsite.com/my-site5455, on Sep 8th 2021 8:52 AM,VALID PHISH
7286130,https://www.headsoaps.com/survey/936sfbg29488/source=10-1426/subid=10/..., on Sep 8th 2021 8:52 AM,VALID PHISH
7286124,https://septembermitarbeiter.weebly.com/, on Sep 8th 2021 8:22 AM,VALID PHISH
7286016,https://protection.b166dbd464dcfe2521a41e6e2ad6b8b0.site/one/partnerpo..., on Sep 8th 2021 6:01 AM,Unknown
7286015,http://onef97c5d29941bfb1.homeftp.net/f97c5d29941bfb1b2fdab0874906ab82..., on Sep 8th 2021 6:01 AM,Unknown
7285982,https://paypal-caseid638.com, on Sep 8th 2021 5:04 AM,VALID PHISH
7285621,http://www.news-peala.online/, on Sep 7th 2021 8:50 PM,Unknown
7275058,https://www.10dovestreet.com/resources/fonts/Valencia/www/..., on Aug 27th 2021 9:26 AM,VALID PHISH
7275057,https://posttfincesee.000webhostapp.com/login/..., on Aug 27th 2021 9:24 AM,Unknown
7275034,https://cx91993.tmweb.ru/, on Aug 27th 2021 8:19 AM,Unknown
7275033,https://postfinceese.xyz/login/index.html, on Aug 27th 2021 8:19 AM,VALID PHISH
7275032,http://aguamarina.top/audios/disco11/last/ins/..., on Aug 27th 2021 8:19 AM,VALID PHISH
7275031,https://dedls.weebly.com/, on Aug 27th 2021 8:19 AM,Unknown
7274525,https://kistarvan.tripod.com/index.html, on Aug 26th 2021 7:12 PM,VALID PHISH
7274524,https://psottfincase.000webhostapp.com/login/, on Aug 26th 2021 7:12 PM,VALID PHISH
7274523,https://rphsssgzb.in/-/swisspost/postch.php, on Aug 26th 2021 7:12 PM,VALID PHISH
7274522,https://suissaespost.com/CH/suisspost/, on Aug 26th 2021 7:12 PM,Unknown
7274521,https://ashishtradingindicator.com/chpst.php, on Aug 26th 2021 7:12 PM,VALID PHISH
7274520,https://ix9819x.weebly.com/, on Aug 26th 2021 7:12 PM,VALID PHISH
7274519,https://posttfincessse.000webhostapp.com/login/..., on Aug 26th 2021 7:12 PM,VALID PHISH
7274393,https://affectionate-brown.199-192-18-233.plesk.page/..., on Aug 26th 2021 3:03 PM,Unknown
7274074,https://waynesboronurseries.com/wp-content/languages/plugins/-/viseca/..., on Aug 26th 2021 8:10 AM,Unknown
7274072,http://posstfinces.000webhostapp.com/login/, on Aug 26th 2021 8:10 AM,VALID PHISH
7274071,http://ppostfineance.000webhostapp.com/login/, on Aug 26th 2021 8:10 AM,Unknown
7273987,https://cq85607.tmweb.ru/, on Aug 26th 2021 6:03 AM,Unknown
7273986,https://u1231876xot.ha004.t.justns.ru/, on Aug 26th 2021 6:03 AM,VALID PHISH
7273985,https://stoic-cray.162-0-224-54.plesk.page/, on Aug 26th 2021 6:03 AM,VALID PHISH
7273984,https://identity-spcweb-ch.com/Account/de/*/08/..., on Aug 26th 2021 6:03 AM,Unknown
7273648,https://555030.selcdn.ru/00-Balancer/bullionusdt32.html#[email protected], on Aug 25th 2021 7:16 PM,VALID PHISH
7273647,https://printedantisliptape.info/mcards/index.php..., on Aug 25th 2021 7:16 PM,Unknown
