latitude,longitude,name,ort,plz,strasse,hausnummer,typ
47.195174,8.523793,interdiscount-baar,Baar,6340,Bahnhofstrasse,13,id
47.195218,8.52386,coop-supermarkt-baar-gotthard,Baar,6340,Poststrasse,3,retail
47.195227,8.523926,coop-restaurant-baar-gotthard,Baar,6340,Poststrasse,3,restaurant
46.869705,7.563084,pronto-muensingen,Münsingen,3110,Thunstrasse,22,pronto
46.874517,7.563436,coop-supermarkt-muensingen,Münsingen,3110,Dorfplatz,6,retail
47.195909,8.529747,coop-supermarkt-baar-oberdorf,Baar,6340,Oberdorfstrasse,6A,retail
47.246055,8.184932,pronto-menziken,Menziken,5737,Hauptstrasse,14,pronto
46.87042,7.559242,toptip-muensingen,Münsingen,3110,Erlenauweg,2,toptip
46.87078,7.559125,coop-bau-hobby-b-h-muensingen,Münsingen,3110,Industriestrasse,16,bh
46.874405,7.559278,interdiscount-muensingen,Münsingen,3110,Alte Bahnhofstrasse,9,id
47.237696,8.074471,coop-supermarkt-triengen,Triengen,6234,Kantonsstrasse,75,retail
47.178778,8.588306,coop-supermarkt-menzingen,Menzingen,6313,Carmelweg,1,retail
47.25163,8.182447,coop-supermarkt-reinach-ag,Reinach,5734,Obere Stumpenbachstrasse,10,retail
47.25163,8.182447,coop-restaurant-reinach-ag,Reinach,5734,Obere Stumpenbachstrasse,10,restaurant
47.25164,8.182421,interdiscount-reinach-ag,Reinach,5734,Obere Stumpenbachstrasse,10,id
47.201623,8.540937,coop-restaurant-baar-delfin,Baar,6340,Lättichstrasse,10,restaurant
46.494851,7.673109,coop-supermarkt-kandersteg,Kandersteg,3718,Bahnhofstrasse,274,retail
46.928923,7.561448,coop-supermarkt-worb,Worb,3076,Bärenplatz,4,retail
46.928923,7.561448,coop-restaurant-worb,Worb,3076,Bärenplatz,4,restaurant
47.034395,7.630919,pronto-oberburg,Oberburg,3414,Emmentalstrasse,124,pronto
47.036959,7.630797,coop-supermarkt-oberburg,Oberburg,3414,Progressastrasse,35,retail
47.035935,7.629648,coop-bau-hobby-b-h-oberburg,Oberburg,3414,Emmentalstrasse,49,bh
46.934143,7.559346,pronto-worb,Worb,3076,Bollstrasse,30,pronto
46.891594,7.541628,pronto-rubigen,Rubigen,3113,Alte Belpstrasse,4,pronto
47.166021,7.798455,coop-supermarkt-madiswil,Madiswil,4934,Unterdorfstrasse,2,retail
47.264327,8.177563,coop-bau-hobby-b-h-reinach-ag,Reinach,5734,Europastrasse,7,bh
47.265448,8.176627,pronto-reinach,Reinach,5734,Aarauerstrasse,68,pronto
46.322855,7.989383,coop-supermarkt-naters,Naters,3904,Furkastrasse,20,retail
47.056822,7.629367,coop-supermarkt-burgdorf-schuetzenmatte,Burgdorf,3400,Sägegasse,14,retail
47.056822,7.629367,coop-restaurant-burgdorf-schuetzenmatte,Burgdorf,3400,Sägegasse,14,restaurant
46.769237,7.509163,coop-supermarkt-wattenwil,Wattenwil,3665,Blumensteinstrasse,4,retail
46.318685,7.988627,coop-supermarkt-brig-zentrum-post,Brig,3900,Nordstrasse,2,retail
46.318211,7.988012,interdiscount-brig,Brig,3900,Bahnhofstrasse,4,id
46.317625,7.988317,impo-brig-ip,Brig,3900,Bahnhofstrasse,9,impo
46.317229,7.9883,christ-brig-christ,Brig,3900,Bahnhofstrasse,11,christ
47.215806,8.573642,pronto-baar-sihlbruggstrasse,Baar,6340,Sihlbruggstrasse,152,pronto
47.271305,8.343184,pronto-muri,Muri,5630,Luzernerstrasse,33,pronto
47.059064,7.622847,coop-supermarkt-burgdorf-stadt,Burgdorf,3400,Bahnhofstrasse,7,retail
47.126882,8.745705,coop-supermarkt-einsiedeln,Einsiedeln,8840,Schwanenstrasse,2,retail
47.272664,8.340763,coop-supermarkt-muri-ag,Muri,5630,Seetalstrasse,1,retail
47.272664,8.340763,coop-restaurant-muri-ag,Muri,5630,Seetalstrasse,1,restaurant
47.272664,8.340763,coop-vitality-muripark,Muri,5630,Seetalstrasse,1,vitality
47.058885,7.621846,interdiscount-burgdorf,Burgdorf,3400,Lyssachstrasse,23,id
47.248098,7.970623,coop-supermarkt-reiden,Reiden,6260,Hauptstrasse,63,retail
46.315113,7.986812,coop-supermarkt-brig,Brig,3902,Gliserallee,13,retail
47.058912,7.62178,impo-burgdorf-ip,Burgdorf,3400,Lyssachstrasse,21-23,impo
47.06064,7.621641,coop-supermarkt-burgdorf-take-it,Burgdorf,3400,Bahnhofstrasse,44,retail
47.06064,7.621641,coop-supermarkt-burgdorf-bahnhof,Burgdorf,3400,Bahnhofstrasse,44,retail
