,company,job,location,count
115,Ulrich & Hefti AG,Automatikmonteur/in EFZ,Alpnach Dorf (OW),"
1 Lehrstelle(n)
"
116,Mecatal,Automatikmonteur/in EFZ,Broc (FR),"
1 Lehrstelle(n)
"
117,HUTA AG,Automatikmonteur/in EFZ,Ennetbürgen (NW),"
1 Lehrstelle(n)
"
118,Constrelec SA,Automatikmonteur/in EFZ,Estavayer-le-Lac (FR),"
1 Lehrstelle(n)
"
119,PFIFFNER Messwandler AG,Automatikmonteur/in EFZ,Hirschthal (AG),"
2 Lehrstelle(n)
"
120,Tophinke Automation &,Automatikmonteur/in EFZ,Hochdorf (LU),"
1 Lehrstelle(n)
"
121,Eichmann-Tableaux AG,Automatikmonteur/in EFZ,Küssnacht am Rigi (SZ),"
1 Lehrstelle(n)
"
122,Pesce A. Sàrl,Automatikmonteur/in EFZ,Marly (FR),"
1 Lehrstelle(n)
"
123,Dexa SA,Automatikmonteur/in EFZ,Mont-sur-Rolle (VD),"
1 Lehrstelle(n)
"
124,Joggi AG,Automatikmonteur/in EFZ,Murten (FR),"
1 Lehrstelle(n)
"
125,Othmar Bürgy AG,Automatikmonteur/in EFZ,Murten (FR),"
1 Lehrstelle(n)
"
126,Autix AG,Automatikmonteur/in EFZ,Rain (LU),"
1 Lehrstelle(n)
"
127,F. Borner AG,Automatikmonteur/in EFZ,Reiden (LU),"
1 Lehrstelle(n)
"
128,Bürge-Fischer AG,Automatikmonteur/in EFZ,Safenwil (AG),"
1 Lehrstelle(n)
"
129,BMC Technique SA,Automatikmonteur/in EFZ,Saxon (VS),"
1 Lehrstelle(n)
"
130,Creusalp SA,Automatikmonteur/in EFZ,Sitten (VS),"
1 Lehrstelle(n)
"
131,ELETTRO H.W. SA,Automatikmonteur/in EFZ,Taverne (TI),"
1 Lehrstelle(n)
"
132,Bombardier Transportation (Switzerland) SA,Automatikmonteur/in EFZ,Villeneuve VD (VD),"
3 Lehrstelle(n)
"
133,Costruzione La Bestia GmbH,Automobil-Assistent/in EBA,Aesch LU (LU),"
1 Lehrstelle(n)
"
134,Hess Automobile Alpnach AG,Automobil-Assistent/in EBA,Alpnach Dorf (OW),"
1 Lehrstelle(n)
"
135,Garage Simeone GmbH,Automobil-Assistent/in EBA,Auenstein (AG),"
1 Lehrstelle(n)
"
136,AB Electronics Sàrl,Automobil-Assistent/in EBA,Granges-Paccot (FR),"
1 Lehrstelle(n)
"
137,Garage Rinau,Automobil-Assistent/in EBA,Kaiseraugst (AG),"
1 Lehrstelle(n)
"
138,K. Nusser AG,Automobil-Assistent/in EBA,Koblenz (AG),"
1 Lehrstelle(n)
"
139,Pneu Häfliger AG,Automobil-Assistent/in EBA,Luthern (LU),"
1 Lehrstelle(n)
"
140,Kurt Kistler AG,Automobil-Assistent/in EBA,Niederurnen (GL),"
1 Lehrstelle(n)
"
141,AMAG Automobil und Motoren AG,Automobil-Assistent/in EBA,Oberkirch LU (LU),"
1 Lehrstelle(n)
"
142,Garage Dan Sarl,Automobil-Assistent/in EBA,Puidoux (VD),"
1 Lehrstelle(n)
"
143,HC Hurricane Carparts GmbH,Automobil-Assistent/in EBA,Uffikon (LU),"
1 Lehrstelle(n)
"
144,Brummer Reparatur AG,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Bürglen TG (TG),"
1 Lehrstelle(n)
"
145,J. Windlin AG,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Kriens (LU),"
1 Lehrstelle(n)
"
146,Hans Näf AG,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Neukirch (Egnach) (TG),"
1 Lehrstelle(n)
"
147,Brunner Nutzfahrzeuge AG,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Stans (NW),"
1 Lehrstelle(n)
"
148,Mesrew AG,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Steg VS (VS),"
1 Lehrstelle(n)
"
149,J.-P. Martinet Mécanique SA,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Yverdon-les-Bains (VD),"
1 Lehrstelle(n)
"
150,Auto von Ah AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Alpnach Dorf (OW),"
1 Lehrstelle(n)
"
151,Auto-Center Durrer AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Alpnach Dorf (OW),"
1 Lehrstelle(n)
"
152,Garage Gebr. Wyden AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Bellwald (VS),"
1 Lehrstelle(n)
"
153,Garage Frossard Daniel,Automobil-Fachmann/-frau (Personenwagen) EFZ,Bossonnens (FR),"
1 Lehrstelle(n)
"
154,Garage im Steiger AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Brugg AG (AG),"
1 Lehrstelle(n)
"
155,Garage Sportec Sàrl,Automobil-Fachmann/-frau (Personenwagen) EFZ,Denges (VD),"
1 Lehrstelle(n)
"
156,Auto Portmann GmbH,Automobil-Fachmann/-frau (Personenwagen) EFZ,Engelberg (OW),"
1 Lehrstelle(n)
"
157,Garage de la Gare Chiaravalloti Teodore,Automobil-Fachmann/-frau (Personenwagen) EFZ,Etoy (VD),"
1 Lehrstelle(n)
"
158,Bütikofer Automobile AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Gachnang (TG),"
1 Lehrstelle(n)
"
159,Garage & Carrosserie Bienz AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Giswil (OW),"
1 Lehrstelle(n)
"
160,Garage Central Brigger + Co.,Automobil-Fachmann/-frau (Personenwagen) EFZ,Grächen (VS),"
1 Lehrstelle(n)
"
161,Garage MC Autos Sàrl,Automobil-Fachmann/-frau (Personenwagen) EFZ,Granges VS (VS),"
1 Lehrstelle(n)
"
162,AB Electronics Sàrl,Automobil-Fachmann/-frau (Personenwagen) EFZ,Granges-Paccot (FR),"
1 Lehrstelle(n)
"
163,Auto Ruckstuhl AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Kägiswil (OW),"
1 Lehrstelle(n)
"
164,Garage Rinau,Automobil-Fachmann/-frau (Personenwagen) EFZ,Kaiseraugst (AG),"
1 Lehrstelle(n)
"
165,Garage Hollandia AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Kippel (VS),"
1 Lehrstelle(n)
"
166,K. Nusser AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Koblenz (AG),"
1 Lehrstelle(n)
"
167,Autogarage Toni GmbH,Automobil-Fachmann/-frau (Personenwagen) EFZ,Lengwil (TG),"
1 Lehrstelle(n)
"
168,Südwestgarage Lenzburg AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Lenzburg (AG),"
1 Lehrstelle(n)
"
169,LUEG AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Luzern (LU),"
3 Lehrstelle(n)
"
170,Atlas Automobiles SA,Automobil-Fachmann/-frau (Personenwagen) EFZ,Martigny (VS),"
1 Lehrstelle(n)
"
171,Autowelt Meggen AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Meggen (LU),"
2 Lehrstelle(n)
"
172,Hammer Auto Center AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Meggen (LU),"
1 Lehrstelle(n)
"
173,Garage Nanzer GmbH,Automobil-Fachmann/-frau (Personenwagen) EFZ,Münster VS (VS),"
1 Lehrstelle(n)
"
174,Kurt Kistler AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Niederurnen (GL),"
1 Lehrstelle(n)
"
175,Espace Auto Chablais,Automobil-Fachmann/-frau (Personenwagen) EFZ,Noville (VD),"
1 Lehrstelle(n)
"
176,Garage-Carrosserie du Centre Autos Boi Sàrl,Automobil-Fachmann/-frau (Personenwagen) EFZ,Oron-la-Ville (VD),"
1 Lehrstelle(n)
"
177,Garage Berli,Automobil-Fachmann/-frau (Personenwagen) EFZ,Pfyn (TG),"
1 Lehrstelle(n)
"
178,Garage ATM,Automobil-Fachmann/-frau (Personenwagen) EFZ,Puidoux (VD),"
1 Lehrstelle(n)
"
179,Garage Dan Sarl,Automobil-Fachmann/-frau (Personenwagen) EFZ,Puidoux (VD),"
1 Lehrstelle(n)
"
180,Garage Bruno Muri AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Ruswil (LU),"
1 Lehrstelle(n)
"
181,Garage Zodiac,Automobil-Fachmann/-frau (Personenwagen) EFZ,Saxon (VS),"
1 Lehrstelle(n)
"
182,Brand Automobile AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Schattdorf (UR),"
1 Lehrstelle(n)
"
183,F. Wernli AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Schinznach Bad (AG),"
1 Lehrstelle(n)
"
184,Auto Niederhäuser AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Schmitten FR (FR),"
1 Lehrstelle(n)
"
185,Garage Julmy,Automobil-Fachmann/-frau (Personenwagen) EFZ,Schmitten FR (FR),"
1 Lehrstelle(n)
"
186,Garage Touring Ruppen GmbH,Automobil-Fachmann/-frau (Personenwagen) EFZ,St. Niklaus VS (VS),"
1 Lehrstelle(n)
"
187,STS-automobile GmbH,Automobil-Fachmann/-frau (Personenwagen) EFZ,St. Silvester (FR),"
1 Lehrstelle(n)
"
188,Biasco & Suppa Automobile GmbH,Automobil-Fachmann/-frau (Personenwagen) EFZ,Tobel (TG),"
1 Lehrstelle(n)
"
189,Garage de Carignan SA,Automobil-Fachmann/-frau (Personenwagen) EFZ,Vallon (FR),"
1 Lehrstelle(n)
"
190,Garage Müller AG,Automobil-Fachmann/-frau (Personenwagen) EFZ,Wolhusen (LU),"
1 Lehrstelle(n)
"
191,Brummer Reparatur AG,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Bürglen TG (TG),"
1 Lehrstelle(n)
"
