,company,job,location,count
4331,Moreillon Werner,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Siders (VS),"
1 Lehrstelle(n)
"
4332,Bäckerei Mathieu,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Susten (VS),"
1 Lehrstelle(n)
"
4333,Quincaillerie du Lignon SA,Detailhandelsassistent/in (Eisenwaren) EBA,Le Lignon (GE),"
1 Lehrstelle(n)
"
4334,Debrunner Acifer AG,Detailhandelsassistent/in (Eisenwaren) EBA,Sursee (LU),"
1 Lehrstelle(n)
"
4335,Metzgerei Felder GmbH,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Entlebuch (LU),"
1 Lehrstelle(n)
"
4336,Felder Metzgerei - Wursterei,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Safenwil (AG),"
1 Lehrstelle(n)
"
4337,Migros Wallis,Detailhandelsassistent/in (Haushalt) EBA,Visp (VS),"
1 Lehrstelle(n)
"
4338,MX2 Kiosk GmbH,Detailhandelsassistent/in (Kiosk) EBA,Luzern (LU),"
1 Lehrstelle(n)
"
4339,Bistro Kiosk Dilei,Detailhandelsassistent/in (Kiosk) EBA,Susten (VS),"
1 Lehrstelle(n)
"
4340,Landi Aarau-West AG,Detailhandelsassistent/in (Landi) EBA,Zetzwil (AG),"
1 Lehrstelle(n)
"
4341,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Agarn (VS),"
1 Lehrstelle(n)
"
4342,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Bellwald (VS),"
1 Lehrstelle(n)
"
4343,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Bettmeralp (VS),"
1 Lehrstelle(n)
"
4344,Migros Wallis,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Brig (VS),"
1 Lehrstelle(n)
"
4345,Lucia Wiederkehr GmbH,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Buttisholz (LU),"
1 Lehrstelle(n)
"
4346,Denner Partner Eschenbach GmbH,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Eschenbach LU (LU),"
1 Lehrstelle(n)
"
4347,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Eschlikon TG (TG),"
1 Lehrstelle(n)
"
4348,Denner AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Frauenfeld (TG),"
1 Lehrstelle(n)
"
4349,Ramon Toma GmbH,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Frauenfeld (TG),"
1 Lehrstelle(n)
"
4350,Denner Partner Gampel,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Gampel (VS),"
1 Lehrstelle(n)
"
4351,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Geuensee (LU),"
1 Lehrstelle(n)
"
4352,Migros Wallis,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Glis (VS),"
1 Lehrstelle(n)
"
4353,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Güttingen (TG),"
1 Lehrstelle(n)
"
4354,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Herznach (AG),"
1 Lehrstelle(n)
"
4355,Coop Genossenschaft,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Hochdorf (LU),"
1 Lehrstelle(n)
"
4356,Coop Region Kaiseraugst,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Kaiseraugst (AG),"
1 Lehrstelle(n)
"
4357,Denner AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Kreuzlingen (TG),"
1 Lehrstelle(n)
"
4358,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Lengnau AG (AG),"
1 Lehrstelle(n)
"
4359,Migros Wallis,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Leukerbad (VS),"
1 Lehrstelle(n)
"
4360,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Lupfig (AG),"
1 Lehrstelle(n)
"
4361,Volg Detailhandels AG Filiale Marbach,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Marbach LU (LU),"
1 Lehrstelle(n)
"
4362,Denner Express,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Münchwilen TG (TG),"
1 Lehrstelle(n)
"
4363,Landi Aarau-West AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Oberkulm (AG),"
1 Lehrstelle(n)
"
4364,Marco Bläsi,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Obernau (LU),"
1 Lehrstelle(n)
"
4365,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Oberwil-Lieli (AG),"
1 Lehrstelle(n)
"
4366,BP Service Oftringen,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Oftringen (AG),"
1 Lehrstelle(n)
"
4367,Gärtner Lebensmittel AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Rütihof (AG),"
1 Lehrstelle(n)
"
4368,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Seelisberg (UR),"
1 Lehrstelle(n)
"
4369,Landi Hallwilersee,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Seengen (AG),"
1 Lehrstelle(n)
"
4370,SPAR Supermarkt,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Spreitenbach (AG),"
1 Lehrstelle(n)
"
4371,Lidl Schweiz AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Sursee (LU),"
1 Lehrstelle(n)
"
4372,Spar Supermarkt,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Turgi (AG),"
1 Lehrstelle(n)
"
4373,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Turtmann (VS),"
1 Lehrstelle(n)
"
4374,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Ulrichen (VS),"
1 Lehrstelle(n)
"
4375,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Untersiggenthal (AG),"
1 Lehrstelle(n)
"
4376,Arnold's Daily GmbH,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Walde AG (AG),"
1 Lehrstelle(n)
"
4377,SPAR Supermarkt,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Wettingen (AG),"
1 Lehrstelle(n)
"
4378,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Wil AG (AG),"
1 Lehrstelle(n)
"
4379,Real Markt Wohlen GmbH,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Wohlen AG (AG),"
1 Lehrstelle(n)
"
4380,Volg Detailhandels AG,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Zeihen (AG),"
1 Lehrstelle(n)
"
4381,KIKO Shoppi Tivoli,Detailhandelsassistent/in (Parfumerie) EBA,Spreitenbach (AG),"
1 Lehrstelle(n)
"
4382,Schuh Wehrli AG,Detailhandelsassistent/in (Schuhe) EBA,Aarau (AG),"
1 Lehrstelle(n)
"
4383,Mode Herzog AG,Detailhandelsassistent/in (Textil) EBA,Baden (AG),"
1 Lehrstelle(n)
"
4384,Molli Mode Fachgeschäft,Detailhandelsassistent/in (Textil) EBA,Frauenfeld (TG),"
1 Lehrstelle(n)
"
4385,OTTO'S AG,Detailhandelsassistent/in (Textil) EBA,Kreuzlingen (TG),"
1 Lehrstelle(n)
"
4386,Levi's Store Luzern,Detailhandelsassistent/in (Textil) EBA,Luzern (LU),"
1 Lehrstelle(n)
"
4387,Renzi Fashion,Detailhandelsassistent/in (Textil) EBA,Spreitenbach (AG),"
1 Lehrstelle(n)
"
4388,Otto's AG,Detailhandelsassistent/in (Textil) EBA,Sursee (LU),"
1 Lehrstelle(n)
"
4389,Auto Wyder AG,Detailhandelsfachmann/-frau Beratung (Autoteile-Logistik) EFZ,Sursee (LU),"
1 Lehrstelle(n)
"
4390,Techauto Center Sàrl,Detailhandelsfachmann/-frau Beratung (Autoteile-Logistik) EFZ,Vernier (GE),"
1 Lehrstelle(n)
"
4391,L'Echappée,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Aigle (VD),"
1 Lehrstelle(n)
"
4392,Fleur de Pains SA,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Aubonne (VD),"
1 Lehrstelle(n)
"
4393,Bäckerei Zenhäusern AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Brig (VS),"
1 Lehrstelle(n)
"
4394,Bäckerei-Konditorei Frei AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Brugg AG (AG),"
2 Lehrstelle(n)
"
4395,Bäckerei Brunner AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Buchrain (LU),"
1 Lehrstelle(n)
"
4396,Fleur de Pains SA,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Châtel-St-Denis (FR),"
1 Lehrstelle(n)
"
4397,Boulangerie-Pâtisserie Court Christian,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Chavornay (VD),"
1 Lehrstelle(n)
"
4398,Bäckerei Brunner AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Dierikon (LU),"
1 Lehrstelle(n)
"
4399,Beck Koch AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Emmenbrücke (LU),"
2 Lehrstelle(n)
"
4400,Zum Poscht-Beck,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Flühli LU (LU),"
1 Lehrstelle(n)
"
4401,Bäckerei Krummenacher AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Grosswangen (LU),"
1 Lehrstelle(n)
"
4402,R. Hänggi AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Kriens (LU),"
1 Lehrstelle(n)
"
4403,"Le Duo Créatif,",Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,La Tour-de-Peilz (VD),"
1 Lehrstelle(n)
"
4404,Bäckerei-Konditorei zur Sonne,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Leuggern (AG),"
1 Lehrstelle(n)
"
4405,Art-Confiserie Kurmann GmbH,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Luzern (LU),"
2 Lehrstelle(n)
"
4406,Confiseur Bachmann AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Luzern (LU),"
8 Lehrstelle(n)
"
4407,R. Hänggi AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Luzern (LU),"
1 Lehrstelle(n)
"
4408,R. Hänggi AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Luzern (LU),"
1 Lehrstelle(n)
"
4409,Aeschbach Chocolatier AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Root (LU),"
1 Lehrstelle(n)
"
4410,Willi Suter,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Schötz (LU),"
1 Lehrstelle(n)
"
4411,Willi Beck AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Sempach (LU),"
1 Lehrstelle(n)
"
4412,Beck Berwert,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Stalden (Sarnen) (OW),"
1 Lehrstelle(n)
"
4413,Bäckerei Mathieu,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Susten (VS),"
1 Lehrstelle(n)
"
4414,Walz Backkunst AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Tägerwilen (TG),"
1 Lehrstelle(n)
"
4415,Bäckerei-Confiserie Richner AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Veltheim AG (AG),"
1 Lehrstelle(n)
"
4416,Swisscom (Schweiz) AG,Detailhandelsfachmann/-frau Beratung (Consumer-Electronics) EFZ,Luzern (LU),"
1 Lehrstelle(n)
"
4417,DGSolutions Sàrl,Detailhandelsfachmann/-frau Beratung (Consumer-Electronics) EFZ,Martigny (VS),"
1 Lehrstelle(n)
"
4418,Conforama Schweiz SA,Detailhandelsfachmann/-frau Beratung (Consumer-Electronics) EFZ,Schafisheim (AG),"
1 Lehrstelle(n)
"
4419,STEG Electronics AG,Detailhandelsfachmann/-frau Beratung (Consumer-Electronics) EFZ,Visp (VS),"
1 Lehrstelle(n)
"
4420,Elektro Imboden & Söhne AG,Detailhandelsfachmann/-frau Beratung (Consumer-Electronics) EFZ,Zermatt (VS),"
1 Lehrstelle(n)
"
4421,HORNBACH Bau- und Gartenmarkt,Detailhandelsfachmann/-frau Beratung (Do-it-yourself) EFZ,Luzern (LU),"
1 Lehrstelle(n)
"
4422,BAUHAUS Fachcentren AG,Detailhandelsfachmann/-frau Beratung (Do-it-yourself) EFZ,Oftringen (AG),"
2 Lehrstelle(n)
"
4423,Jumbo-Markt AG,Detailhandelsfachmann/-frau Beratung (Do-it-yourself) EFZ,Suhr (AG),"
1 Lehrstelle(n)
"
4424,Morard Quincaillerie succ. Chavaillaz C.,Detailhandelsfachmann/-frau Beratung (Eisenwaren) EFZ,Bulle (FR),"
1 Lehrstelle(n)
"
4425,Debrunner Acifer AG,Detailhandelsfachmann/-frau Beratung (Eisenwaren) EFZ,Emmenbrücke 1 (LU),"
1 Lehrstelle(n)
"
4426,Commerce de fer fribourgeois SA,Detailhandelsfachmann/-frau Beratung (Eisenwaren) EFZ,Freiburg (FR),"
1 Lehrstelle(n)
"
4427,Zenklusen Maschinencenter AG,Detailhandelsfachmann/-frau Beratung (Eisenwaren) EFZ,Glis (VS),"
1 Lehrstelle(n)
"
4428,Ed. Perillat SA,Detailhandelsfachmann/-frau Beratung (Eisenwaren) EFZ,Les Acacias (GE),"
1 Lehrstelle(n)
"
4429,Ferroflex AG,Detailhandelsfachmann/-frau Beratung (Eisenwaren) EFZ,Oberentfelden (AG),"
1 Lehrstelle(n)
"
4430,Debrunner Acifer AG,Detailhandelsfachmann/-frau Beratung (Eisenwaren) EFZ,Sursee (LU),"
1 Lehrstelle(n)
"
4431,Pfefferlé & Cie Sa,Detailhandelsfachmann/-frau Beratung (Eisenwaren) EFZ,Visp (VS),"
4 Lehrstelle(n)
"
4432,Metzgerei Felder GmbH,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Entlebuch (LU),"
1 Lehrstelle(n)
"
4433,Metzgerei Giger,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Entlebuch (LU),"
1 Lehrstelle(n)
"
4434,Migros Vaud - MMM Métropole Lausanne,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Lausanne (VD),"
1 Lehrstelle(n)
"
4435,TRAITAFINA AG,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Lenzburg (AG),"
1 Lehrstelle(n)
"
4436,Migros Vaud - MM Montreux,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Montreux (VD),"
1 Lehrstelle(n)
"
4437,Migros Vaud - MM Morges,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Morges (VD),"
1 Lehrstelle(n)
"
4438,Metzgerei Bammatter,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Naters (VS),"
1 Lehrstelle(n)
"
4439,Felder Metzgerei - Wursterei,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Safenwil (AG),"
1 Lehrstelle(n)
"
4440,Gebr. Strässle AG,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Suhr (AG),"
1 Lehrstelle(n)
"
4441,Migros Vaud - MMM Yverdon,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Yverdon-les-Bains (VD),"
1 Lehrstelle(n)
"
4442,Migros Vaud - MMM Crissier,Detailhandelsfachmann/-frau Beratung (Flower) EFZ,Crissier (VD),"
1 Lehrstelle(n)
"
4443,Migros Vaud - MMM Romanel,Detailhandelsfachmann/-frau Beratung (Flower) EFZ,Romanel-sur-Lausanne (VD),"
1 Lehrstelle(n)
"
4444,Gartencenter Lengnau AG,Detailhandelsfachmann/-frau Beratung (Garden) EFZ,Lengnau AG (AG),"
1 Lehrstelle(n)
"
4445,Arco Regio AG,Detailhandelsfachmann/-frau Beratung (Haushalt) EFZ,Eschenbach LU (LU),"
1 Lehrstelle(n)
"
4446,Lipo Ameublement,Detailhandelsfachmann/-frau Beratung (Haushalt) EFZ,Villeneuve VD (VD),"
1 Lehrstelle(n)
"
4447,Zandi Sàrl BP Service Vernier Station-service,Detailhandelsfachmann/-frau Beratung (Kiosk) EFZ,Châtelaine (GE),"
1 Lehrstelle(n)
"
4448,LANDI Markt Aachtal AG,Detailhandelsfachmann/-frau Beratung (Landi) EFZ,Amriswil (TG),"
1 Lehrstelle(n)
"
4449,Landi,Detailhandelsfachmann/-frau Beratung (Landi) EFZ,Buchrain (LU),"
1 Lehrstelle(n)
"
4450,LANDI Pilatus AG,Detailhandelsfachmann/-frau Beratung (Landi) EFZ,Horw (LU),"
1 Lehrstelle(n)
"
4451,LANDI Pilatus AG,Detailhandelsfachmann/-frau Beratung (Landi) EFZ,Malters (LU),"
1 Lehrstelle(n)
"
4452,Landi Matzingen Genossenschaft,Detailhandelsfachmann/-frau Beratung (Landi) EFZ,Matzingen (TG),"
1 Lehrstelle(n)
"
4453,LANDI Pilatus AG,Detailhandelsfachmann/-frau Beratung (Landi) EFZ,Wolhusen (LU),"
1 Lehrstelle(n)
"
4454,Wöhrle AG,Detailhandelsfachmann/-frau Beratung (Lederwaren und Reiseartikel) EFZ,Aarau (AG),"
1 Lehrstelle(n)
"
4455,OTTO'S AG,Detailhandelsfachmann/-frau Beratung (Möbel) EFZ,Arbon (TG),"
1 Lehrstelle(n)
"
4456,Arco Regio AG,Detailhandelsfachmann/-frau Beratung (Möbel) EFZ,Eschenbach LU (LU),"
1 Lehrstelle(n)
"
4457,JYSK GmbH,Detailhandelsfachmann/-frau Beratung (Möbel) EFZ,Eyholz (VS),"
1 Lehrstelle(n)
"
4458,Otto's AG,Detailhandelsfachmann/-frau Beratung (Möbel) EFZ,Luzern (LU),"
1 Lehrstelle(n)
"
4459,Conforama Schweiz SA,Detailhandelsfachmann/-frau Beratung (Möbel) EFZ,Schafisheim (AG),"
1 Lehrstelle(n)
"
4460,Otto's AG,Detailhandelsfachmann/-frau Beratung (Möbel) EFZ,Sursee (LU),"
1 Lehrstelle(n)
"
4461,Müller Reformhaus Vital Shop AG,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Aarau (AG),"
1 Lehrstelle(n)
"
4462,Consommation SA,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Château-d'Oex (VD),"
2 Lehrstelle(n)
"
4463,Marché Prodega - TransGourmet Suisse SA,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Crissier (VD),"
1 Lehrstelle(n)
"
4464,Denner Partner Gampel,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Gampel (VS),"
1 Lehrstelle(n)
"
4465,Schaukäserei Rhone AG,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Glis (VS),"
1 Lehrstelle(n)
"
4466,SPAR Express,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Kreuzlingen (TG),"
1 Lehrstelle(n)
"
4467,Antoine Boulangerie-Confiserie SA,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Le Mouret (FR),"
1 Lehrstelle(n)
"
4468,Müller Reformhaus,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Luzern (LU),"
1 Lehrstelle(n)
"
4469,Baksi Sàrl - Station ENI,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Noville (VD),"
1 Lehrstelle(n)
"
4470,Marco Bläsi,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Obernau (LU),"
1 Lehrstelle(n)
"
4471,Migros Partner Orani,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Puidoux (VD),"
1 Lehrstelle(n)
"
4472,Fromagerie Tea-Room,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Semsales (FR),"
1 Lehrstelle(n)
"
4473,Denner SA,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Yverdon-les-Bains (VD),"
1 Lehrstelle(n)
"
4474,Mc PaperLand,Detailhandelsfachmann/-frau Beratung (Papeterie) EFZ,Luzern (LU),"
1 Lehrstelle(n)
"
4475,Office World AG,Detailhandelsfachmann/-frau Beratung (Papeterie) EFZ,Luzern (LU),"
1 Lehrstelle(n)
"
4476,Müller Handels AG Schweiz,Detailhandelsfachmann/-frau Beratung (Parfümerie) EFZ,Lupfig (AG),"
1 Lehrstelle(n)
"
4477,Marionnaud Parfumeries AG,Detailhandelsfachmann/-frau Beratung (Parfümerie) EFZ,Luzern (LU),"
1 Lehrstelle(n)
"
4478,KIKO Shoppi Tivoli,Detailhandelsfachmann/-frau Beratung (Parfümerie) EFZ,Spreitenbach (AG),"
1 Lehrstelle(n)
"
4479,Dosenbach-Ochsner AG,Detailhandelsfachmann/-frau Beratung (Schuhe) EFZ,Aarau (AG),"
1 Lehrstelle(n)
"
4480,Schuh Wehrli AG,Detailhandelsfachmann/-frau Beratung (Schuhe) EFZ,Aarau (AG),"
1 Lehrstelle(n)
"
4481,Vögele Shoes,Detailhandelsfachmann/-frau Beratung (Schuhe) EFZ,Amriswil (TG),"
1 Lehrstelle(n)
"
4482,Dosenbach-Ochsner AG,Detailhandelsfachmann/-frau Beratung (Schuhe) EFZ,Ebikon (LU),"
1 Lehrstelle(n)
"
4483,Dosenbach Chaussures Metro Shopping Dosenbach,Detailhandelsfachmann/-frau Beratung (Schuhe) EFZ,Genf (GE),"
1 Lehrstelle(n)
"
4484,Dosenbach-Ochsner AG,Detailhandelsfachmann/-frau Beratung (Schuhe) EFZ,Kriens (LU),"
1 Lehrstelle(n)
"
4485,Bissegger Orthopädie und Schuhmode,Detailhandelsfachmann/-frau Beratung (Schuhe) EFZ,Sirnach (TG),"
1 Lehrstelle(n)
"
4486,Dosenbach-Ochsner AG,Detailhandelsfachmann/-frau Beratung (Schuhe) EFZ,Sitten (VS),"
1 Lehrstelle(n)
"
4487,Dosenbach-Ochsner AG,Detailhandelsfachmann/-frau Beratung (Schuhe) EFZ,Sursee (LU),"
1 Lehrstelle(n)
"
4488,Schuh Wehrli AG,Detailhandelsfachmann/-frau Beratung (Schuhe) EFZ,Sursee (LU),"
1 Lehrstelle(n)
"
4489,Auto Wyder AG,Detailhandelsfachmann/-frau Beratung (Autoteile-Logistik) EFZ,Sursee (LU),"
1 Lehrstelle(n)
"
4490,Techauto Center Sàrl,Detailhandelsfachmann/-frau Beratung (Autoteile-Logistik) EFZ,Vernier (GE),"
1 Lehrstelle(n)
"
4491,L'Echappée,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Aigle (VD),"
1 Lehrstelle(n)
"
4492,Fleur de Pains SA,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Aubonne (VD),"
1 Lehrstelle(n)
"
4493,Bäckerei Zenhäusern AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Brig (VS),"
1 Lehrstelle(n)
"
4494,Bäckerei-Konditorei Frei AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Brugg AG (AG),"
2 Lehrstelle(n)
"
4495,Bäckerei Brunner AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Buchrain (LU),"
1 Lehrstelle(n)
"
4496,Fleur de Pains SA,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Châtel-St-Denis (FR),"
1 Lehrstelle(n)
"
4497,Boulangerie-Pâtisserie Court Christian,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Chavornay (VD),"
1 Lehrstelle(n)
"
4498,Bäckerei Brunner AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Dierikon (LU),"
1 Lehrstelle(n)
"
4499,Beck Koch AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Emmenbrücke (LU),"
2 Lehrstelle(n)
"
4500,Zum Poscht-Beck,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Flühli LU (LU),"
1 Lehrstelle(n)
"
4501,Bäckerei Krummenacher AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Grosswangen (LU),"
1 Lehrstelle(n)
"
4502,R. Hänggi AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Kriens (LU),"
1 Lehrstelle(n)
"
4503,"Le Duo Créatif,",Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,La Tour-de-Peilz (VD),"
1 Lehrstelle(n)
"
4504,Bäckerei-Konditorei zur Sonne,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Leuggern (AG),"
1 Lehrstelle(n)
"
4505,Art-Confiserie Kurmann GmbH,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Luzern (LU),"
2 Lehrstelle(n)
"
4506,Confiseur Bachmann AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Luzern (LU),"
8 Lehrstelle(n)
"
4507,R. Hänggi AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Luzern (LU),"
1 Lehrstelle(n)
"
4508,R. Hänggi AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Luzern (LU),"
1 Lehrstelle(n)
"
4509,Aeschbach Chocolatier AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Root (LU),"
1 Lehrstelle(n)
"
4510,Willi Suter,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Schötz (LU),"
1 Lehrstelle(n)
"
4511,Willi Beck AG,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Sempach (LU),"
1 Lehrstelle(n)
"
